Age,Ba138Ca,BaCa,SrCa,UCa
1801.937,0.0032965,0.00335822,9.66783,0.00160369
1801.961,0.00378896,0.00370199,9.42963,0.00146717
1801.985,0.00333643,0.00341336,9.21018,0.00134689
1802.009,0.00352013,0.00359249,9.53742,0.00144851
1802.033,0.00340777,0.00349309,9.32964,0.00144186
1802.057,0.00375281,0.0036922,9.17943,0.001401
1802.08,0.00443702,0.00438438,8.98785,0.00128808
1802.104,0.0043843,0.00438563,8.85253,0.00128892
1802.121,0.00440068,0.00452748,9.02287,0.00132627
1802.138,0.0044226,0.00446118,8.79514,0.00122371
1802.154,0.00395319,0.00389288,8.98797,0.00122073
